CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Pamplona/Iruña,Population on the 1st of January, total	:	180,372	:	:	:	:	166,279	:	171,150	180,483	182,666	183,964	189,364	190,937	191,865	193,328	195,769	194,894	197,275	198,491	197,488	195,943	197,604	196,955	196,166	195,853	195,650	197,138	199,066	:
Pamplona/Iruña,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	319,405	320,318	322,739	326,136	:
Santander,Population on the 1st of January, total	194,221	191,079	191,583	193,237	194,822	194,837	185,410	:	184,165	184,164	184,264	180,717	184,661	184,778	183,799	183,955	182,926	181,802	182,302	182,700	181,589	178,095	178,465	177,123	175,736	173,957	172,656	171,951	172,044	:
Toledo,Population on the 1st of January, total	60,671	59,802	60,798	62,183	64,040	65,104	66,006	:	66,989	67,617	68,537	68,382	70,893	72,549	73,485	75,533	77,601	78,618	80,810	82,291	82,489	83,872	84,019	83,593	83,334	83,226	83,459	83,741	84,282	:
Badajoz,Population on the 1st of January, total	126,781	122,225	123,422	129,451	130,153	132,154	122,510	:	134,710	136,613	136,136	133,519	136,851	138,415	139,135	143,019	143,748	145,257	146,832	148,334	150,376	151,214	152,270	150,621	150,517	149,892	149,946	150,543	150,530	:
Logroño,Population on the 1st of January, total	121,911	122,254	122,573	123,848	124,823	125,456	123,841	:	125,617	127,093	128,493	133,058	136,841	139,615	141,568	144,935	147,036	145,866	150,071	152,107	152,650	152,698	153,402	153,066	151,962	151,344	150,876	150,979	151,113	:
Bilbao,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	349,972	353,950	353,567	352,317	353,173	354,145	353,168	353,340	354,860	353,187	351,356	351,629	349,356	346,574	345,141	345,122	345,110	345,821	:
Bilbao,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	787,084	785,036	785,793	782,365	777,787	792,211	790,689	790,423	791,054	:
Córdoba,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	308,072	314,805	318,628	314,178	321,164	322,867	323,600	325,453	328,428	328,547	328,326	328,841	328,704	328,041	327,362	326,609	325,916	325,708	:
Alicante/Alacant,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	284,580	293,629	305,911	310,330	319,380	322,431	322,673	331,750	334,757	334,418	329,325	334,678	335,052	332,067	328,648	330,525	329,988	331,577	:
Vigo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	280,186	288,324	292,566	292,059	293,725	293,255	294,772	295,703	297,332	297,124	295,623	297,355	296,479	294,997	294,098	292,817	292,986	293,642	:
Gijón,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	266,419	270,211	270,875	271,039	273,931	274,472	274,037	275,699	277,554	277,198	276,969	277,733	275,274	275,735	274,290	273,422	272,365	271,843	:
L'Hospitalet de Llobregat,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	239,019	244,323	246,415	250,536	252,884	248,150	251,848	253,782	257,038	258,642	256,509	257,057	254,056	253,518	252,171	254,804	257,349	261,068	:
Santa Cruz de Tenerife,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	188,477	217,415	220,022	219,446	221,567	223,148	220,902	221,956	222,417	222,643	204,476	206,965	206,593	205,279	203,811	203,585	203,692	204,856	:
Santa Cruz de Tenerife,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	356,654	356,696	357,347	360,405	:
A Coruña,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	236,379	242,458	243,902	242,846	243,349	243,320	244,388	245,164	246,056	246,047	245,053	246,146	245,923	244,810	243,870	243,978	244,099	244,850	:
Barakaldo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	99,321	100,064	100,369	100,502	100,080	100,228	100,025	100,313	100,435	:
Reus,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	106,622	106,849	107,211	106,790	104,962	103,194	103,615	103,123	103,477	:
Telde,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	100,900	101,080	101,300	102,170	102,076	102,078	102,164	102,005	102,424	:
Parla,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	120,182	122,045	124,208	125,634	125,323	125,056	124,661	125,898	128,256	:
Lugo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	97,635	98,001	98,457	98,761	98,560	98,134	98,268	97,995	98,025	:
San Fernando,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	96,689	96,786	96,772	96,361	96,335	96,131	95,949	95,643	95,174	:
Girona,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	96,236	96,113	97,198	97,292	97,227	97,586	98,255	99,013	100,266	:
Cáceres,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	94,179	95,616	95,668	95,925	95,855	95,617	95,814	95,917	96,068	:
Torrevieja,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	101,091	90,097	103,720	105,205	91,415	88,447	84,213	83,252	82,599	:
Pozuelo de Alarcón,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,804	83,371	83,844	84,474	84,360	84,558	84,989	85,605	86,172	:
Puerto de Santa María, El,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	88,503	89,012	89,068	89,142	88,700	88,335	88,184	88,430	88,364	:
Coslada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,218	89,155	91,832	91,425	88,847	86,919	84,533	83,011	81,860	:
Avilés,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	84,202	82,938	83,107	82,568	81,659	80,880	80,114	79,514	78,715	:
Talavera de la Reina,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	88,986	87,676	88,755	88,548	86,779	85,150	84,119	83,303	83,009	:
Palencia,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,169	81,089	81,198	80,649	80,178	79,595	79,137	78,892	78,629	:
Sant Boi de Llobregat,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,411	82,666	83,070	83,408	83,107	82,195	82,402	82,142	82,904	:
Ferrol,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	73,638	71,690	71,997	71,232	70,389	69,452	68,308	67,569	66,799	:
Pontevedra,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,981	82,346	82,684	82,934	82,946	82,539	82,549	82,671	82,802	:
Ceuta,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	80,579	83,517	84,018	84,180	84,963	84,263	84,519	84,959	85,144	:
Gandia,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,430	77,595	79,010	78,543	76,497	75,514	74,814	74,121	73,829	:
Rozas de Madrid, Las,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	88,065	89,885	90,390	91,806	92,784	93,520	94,471	95,071	95,550	:
Guadalajara,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	83,789	84,404	84,803	84,504	83,720	83,391	83,633	84,145	84,910	:
Sant Cugat del Vallès,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,745	84,934	84,946	86,108	87,118	87,830	88,921	89,516	90,664	:
Manresa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	76,209	76,311	76,570	76,170	75,297	74,655	74,752	75,152	76,250	:
Getxo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	80,277	80,252	80,026	79,839	79,544	78,846	78,554	78,406	78,276	:
Rubí,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	73,591	74,321	74,484	74,468	74,353	74,536	75,167	75,568	76,423	:
Ciudad Real,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,345	75,071	74,921	74,872	74,960	74,427	74,054	74,641	74,743	:
Benidorm,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	71,198	68,045	72,991	73,768	69,010	69,045	66,642	66,831	67,558	:
Melilla,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	76,034	81,323	80,802	83,679	84,509	85,584	86,026	86,120	86,384	:
Viladecans,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,077	64,999	65,188	65,444	65,358	65,549	65,779	65,993	66,168	:
Ponferrada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	68,767	68,383	68,549	68,121	67,367	66,884	66,447	65,788	65,239	:
San Sebastián de los Reyes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,157	80,561	81,466	82,090	83,329	84,944	86,206	86,707	87,724	:
Zamora,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,998	65,417	65,362	64,986	64,423	63,831	63,217	62,389	61,827	:
Fuengirola,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	71,783	72,019	75,953	77,397	75,856	77,525	77,486	74,929	75,396	:
Cerdanyola del Vallès,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,407	57,674	57,892	57,642	57,402	57,413	57,543	57,723	57,740	:
Sanlúcar de Barrameda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,541	67,232	67,308	67,301	67,385	67,433	67,620	67,640	68,037	:
Vilanova i la Geltrú,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,532	66,074	66,591	66,275	65,941	65,684	65,972	66,077	66,274	:
Prat de Llobregat, El,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,434	62,981	63,162	63,419	62,866	63,014	63,457	63,897	64,132	:
Línea de la Concepción, La,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,645	65,412	64,704	62,697	63,132	63,352	63,278	63,146	62,940	:
Cornellà de Llobregat,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	87,240	86,504	87,458	86,687	86,234	86,376	86,072	86,610	87,173	:
Majadahonda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,439	69,587	70,198	70,386	70,359	70,800	70,755	71,299	71,785	:
Torremolinos,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,957	66,270	68,961	69,389	67,353	67,492	67,786	67,701	68,262	:
Castelldefels,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	62,250	61,858	62,989	63,077	63,255	63,891	64,892	65,954	66,375	:
Irun,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,938	60,747	61,102	61,113	61,195	61,481	61,608	61,855	61,983	:
Granollers,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,691	59,571	59,954	59,753	59,930	60,101	60,174	60,695	60,981	:
Arrecife,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,156	55,381	56,284	55,673	56,880	56,940	58,537	59,771	61,351	:
Elda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	54,815	54,357	54,536	54,056	53,540	53,248	52,745	52,620	52,404	:
Elda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	87,834	87,278	87,153	86,883	:
Santa Lucía de Tirajana,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,845	66,725	67,291	68,506	68,544	69,069	69,178	70,396	71,863	:
Mollet del Vallès,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	52,459	52,096	52,242	51,954	51,719	51,650	51,491	51,128	51,133	:
Granada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	240,661	240,522	237,663	238,292	:	:	:	:	:	239,154	241,003	239,017	237,818	237,540	235,800	234,758	232,770	232,208	:
Granada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	398,707	399,562	398,847	399,456	:
Badalona,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	205,836	210,370	214,440	214,874	:	:	:	:	:	218,886	219,241	220,977	219,708	217,210	215,654	215,634	215,848	217,741	:
Móstoles,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	196,524	198,819	201,789	202,496	:	:	:	:	:	206,015	203,493	206,031	206,451	205,712	206,263	205,614	206,589	207,095	:
Elche/Elx,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	194,767	201,731	207,163	209,439	:	:	:	:	:	230,822	227,417	230,587	230,224	228,647	227,312	227,659	228,675	230,625	:
Cartagena,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	184,686	188,003	194,203	197,665	:	:	:	:	:	214,165	215,757	216,655	217,641	216,451	216,301	214,759	214,177	213,943	:
Sabadell,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	183,788	187,201	191,057	193,338	:	:	:	:	:	207,338	206,949	207,938	207,649	207,444	207,814	208,246	209,931	211,734	:
Jerez de la Frontera,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	183,273	187,087	191,002	192,648	:	:	:	:	:	208,896	211,784	211,900	211,670	212,226	212,876	212,830	212,915	212,879	:
Fuenlabrada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	182,705	179,735	187,963	192,458	:	:	:	:	:	198,973	196,986	198,132	197,520	195,864	195,180	194,171	194,669	193,586	:
San Sebastián/Donostia,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	178,377	181,700	181,811	182,644	:	:	:	:	:	185,506	185,512	186,409	186,500	186,126	186,095	186,064	186,370	186,665	:
Alcalá de Henares,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	176,434	179,602	188,519	191,545	:	:	:	:	:	204,120	200,505	203,924	204,823	200,768	198,750	195,907	194,310	193,751	:
Terrassa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	173,775	179,300	184,829	189,212	:	:	:	:	:	212,724	214,406	215,678	215,055	215,517	215,214	215,121	216,428	218,535	:
Leganés,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	173,584	174,436	176,900	178,630	:	:	:	:	:	187,227	185,758	187,125	186,995	186,696	186,907	187,173	187,720	188,425	:
Almería,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	166,328	173,338	176,727	177,681	:	:	:	:	:	190,013	189,680	191,443	192,697	193,351	194,203	194,515	195,389	196,851	:
Burgos,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	166,187	167,962	169,317	169,682	:	:	:	:	:	178,574	178,864	179,906	179,097	177,776	177,100	176,608	175,623	175,921	:
Salamanca,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	156,368	156,006	157,906	160,415	:	:	:	:	:	154,462	151,658	152,048	149,528	148,042	146,438	144,949	144,436	143,978	:
Alcorcón,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	153,100	149,594	154,441	156,592	:	:	:	:	:	168,299	167,217	169,308	169,773	170,336	167,136	167,354	168,141	169,502	:
Getafe,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	151,479	153,868	156,315	155,997	:	:	:	:	:	169,130	168,642	171,280	172,526	173,057	174,921	176,659	178,288	180,747	:
Albacete,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	148,934	152,155	155,142	156,466	:	:	:	:	:	170,475	171,999	172,472	172,693	172,487	172,121	172,426	172,816	173,050	:
Castellón de la Plana/Castelló de la Plana,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	147,667	153,225	160,714	163,088	:	:	:	:	:	180,690	176,298	180,204	180,185	173,841	171,669	170,990	169,498	170,888	:
Huelva,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	142,284	140,862	144,831	144,369	:	:	:	:	:	149,310	147,808	148,568	148,101	147,212	146,318	145,468	145,115	144,258	:
Cádiz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	133,363	136,236	134,989	133,242	:	:	:	:	:	125,826	124,014	123,948	122,990	121,739	120,468	118,919	118,048	116,979	:
León,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	130,916	135,794	135,634	135,789	:	:	:	:	:	134,012	131,411	131,680	130,601	129,551	127,817	126,192	125,317	124,772	:
San Cristóbal de la Laguna,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	128,822	135,004	134,744	137,314	:	:	:	:	:	152,222	152,025	153,224	151,718	153,009	152,843	153,111	153,655	155,549	:
Tarragona,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	113,129	117,184	121,076	123,584	:	:	:	:	:	140,184	133,223	133,954	133,545	132,199	131,255	131,094	131,507	132,299	:
Santa Coloma de Gramenet,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	112,992	115,568	116,012	116,503	:	:	:	:	:	120,060	119,391	120,593	120,029	118,738	116,950	117,153	117,597	118,821	:
Jaén,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	112,590	112,921	115,638	115,917	:	:	:	:	:	116,790	116,469	116,731	116,176	115,837	115,395	114,658	114,238	113,457	:
Lleida,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	112,199	115,000	118,035	119,935	:	:	:	:	:	137,387	137,283	139,834	139,809	139,176	138,542	138,144	137,327	137,856	:
Ourense,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	107,510	109,011	109,475	108,600	:	:	:	:	:	108,673	107,314	107,597	107,542	106,905	106,231	105,893	105,636	105,505	:
Mataró,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	106,358	109,298	111,879	114,114	:	:	:	:	:	122,905	123,367	124,084	124,099	124,280	124,867	125,517	126,127	126,988	:
Dos Hermanas,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	101,988	103,282	107,258	109,595	:	:	:	:	:	125,086	128,433	128,794	129,719	130,369	131,317	131,855	132,551	133,168	:
Algeciras,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	101,468	106,710	108,779	109,665	:	:	:	:	:	116,417	117,695	116,917	114,277	117,974	118,920	120,601	121,133	121,414	:
Marbella,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	100,036	115,871	116,234	117,353	:	:	:	:	:	136,322	135,124	140,473	142,018	138,679	139,537	140,744	141,172	141,463	:
Torrejón de Ardoz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	97,887	101,056	104,790	106,740	:	:	:	:	:	118,441	123,213	125,331	123,761	126,878	126,934	126,981	128,013	129,729	:
Alcobendas,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	92,090	95,104	98,417	100,307	:	:	:	:	:	110,080	110,351	111,040	112,196	112,188	113,055	113,340	114,864	116,037	:
Alcalá de Guadaíra,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,845	75,080	75,106	75,256	:
Alcoy,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,567	59,198	59,106	58,977	:
Ávila,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,358	58,083	58,149	57,657	:
Benalmádena,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,598	67,245	68,859	67,746	:
Chiclana de la Frontera,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,777	82,645	83,148	83,831	:
Collado Villalba,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	62,056	61,597	62,152	63,074	:
Cuenca,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	55,428	55,102	54,876	54,898	:
Eivissa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	49,975	49,549	49,689	49,727	:
Linares,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,737	58,829	58,449	57,811	:
Lorca,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,714	91,730	92,299	93,079	:
Mérida,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,971	59,174	59,187	59,352	:
Sagunto,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,944	64,439	65,278	65,669	:
Torrelavega,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	53,496	52,819	52,034	51,687	:
Valdemoro,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,854	72,988	73,976	74,745	:
Puerto de la Cruz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	29,412	29,497	30,036	30,483	:
Puerto de la Cruz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,688	65,646	66,254	66,888	:
Paterna,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	67,340	67,854	68,547	69,156	:
Igualada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	38,751	38,987	39,316	39,540	:
Igualada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,851	61,007	61,396	61,775	:
Torrent,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	80,107	80,762	80,630	81,245	:
Mislata,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	43,320	42,988	43,042	43,278	:
Rivas-Vaciamadrid,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,473	82,715	83,767	85,893	:
Santurtzi,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	46,284	46,043	45,765	45,795	:
Esplugues de Llobregat,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	45,626	45,733	45,890	46,355	:
San Vicente del Raspeig/Sant Vicent del Raspeig,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	56,302	56,715	57,175	57,785	:
France,Population on the 1st of January, total	:	56,840,661	57,110,533	57,369,161	57,565,008	57,752,535	57,935,959	58,116,018	58,298,962	58,496,613	58,748,743	59,038,459 e	59,344,025 e	:	:	:	63,235,742	:	:	64,291,153	64,612,939 b	64,933,400	65,241,241	65,564,756	65,907,160	66,190,280	66,361,587	:	:	:
Paris,Population on the 1st of January, total	2,152,423	:	:	:	:	:	:	:	:	2,125,246	:	:	:	:	:	:	2,181,374	:	:	2,233,906	9,575,336 b	9,623,467	9,651,508	9,693,379	9,744,620	9,782,671	9,803,494	:	:	:
Paris (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	6,164,418	:	6,164,418	:	:	:	:	6,507,783 e	:	:	:	:	6,695,406	6,707,750	6,728,051	6,754,282	:	:	:	:	:
Lyon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	1,282,085	1,009,708 b	1,019,799	1,032,045	1,040,773	1,053,447	1,066,305	1,074,695	:	:	:
Toulouse,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	700,210	560,653 b	568,465	577,508	585,370	595,403	602,328	607,507	:	:	:
Strasbourg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	468,402	391,976 b	393,578	396,228	398,183	399,233	401,308	404,315	:	:	:
Bordeaux,Population on the 1st of January, total	624,286	:	:	:	:	:	:	:	:	659,998	:	:	:	:	:	:	702,522	:	:	708,797	596,132 b	600,164	607,983	617,604	625,630	635,780	642,778	:	:	:
Nantes,Population on the 1st of January, total	505,076	:	:	:	:	:	:	:	:	554,478	:	:	:	:	:	:	579,131	:	:	582,132	416,069 b	419,708	424,684	426,602	433,091	440,822	446,468	:	:	:
Lille,Population on the 1st of January, total	1,067,345	:	:	:	:	:	:	:	:	1,091,438	:	:	:	:	:	:	1,107,861	:	:	1,109,020	885,701 b	885,203	889,613	897,683	902,341	902,970	905,049	:	:	:
Montpellier,Population on the 1st of January, total	353,184	:	:	:	:	:	:	:	:	412,891	:	:	:	:	:	:	406,139	:	:	413,068	272,299 b	280,489	285,120	289,921	294,475	297,143	300,870	:	:	:
Saint-Etienne,Population on the 1st of January, total	409,836	:	:	:	:	:	:	:	:	384,042	:	:	:	:	:	:	378,753	:	:	374,669	193,244 b	191,965	193,443	194,127	192,815	193,113	193,972	:	:	:
