CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Dobrich,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	92,672 e	91,045 e	90,375 e	89,627 e	88,807 e	87,817	86,292	85,402	84,502	:
Shumen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	86,824 e	80,947 e	80,511 e	80,143 e	79,710 e	78,884	77,709	76,967	75,837	:
Pernik,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,920 e	80,264 e	79,169 e	78,371 e	77,382 e	76,247	74,824	74,110	73,638	:
Yambol,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	77,174 e	74,201 e	73,268 e	72,778 e	72,159 e	71,561	70,224	69,542	68,846	:
Haskovo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	77,050 e	76,456 e	75,641 e	75,334 e	74,826 e	73,819	72,336	71,686	71,214	:
Pazardzhik,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	75,346 e	72,032 e	71,437 e	71,195 e	70,728 e	70,321	69,384	68,963	68,572	:
Blagoevgrad,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,404 e	70,902 e	70,656 e	70,562 e	70,583 e	70,293	69,610	69,567	69,417	:
Veliko Tarnovo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	67,099 e	68,799 e	68,735 e	68,871 e	68,984 e	68,676	68,320	68,478	68,780	:
Vratsa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	61,011 e	60,741 e	59,700 e	58,856 e	57,771 e	56,517	54,150	53,570	53,120	:
Czech Republic,Population on the 1st of January, total	:	10,364,124	10,312,548	10,325,697	10,334,013	10,333,161	10,321,344	10,309,137	10,299,125	10,282,784	:	10,230,060	10,200,774	:	10,220,577	:	:	10,381,130	10,467,542	10,506,813	10,532,770	10,505,445	10,516,125	10,512,419	10,538,275	10,553,843 d	10,578,820	10,610,055	:	:
